desarrollo,colonia,m2_interiores,m2_totales,m2_jardin,m2_terraza,estacionamientos,eje,precio_listado,precio_cerrado,descuento_pct,fecha_creacion,fecha_firma,anio_firma,mes_firma,dias_creacion_a_firma,precio_m2
Amara,Altos Juriquilla,146,152.91,0,6.91,2,Horizontal,2440912.12,2428707.56,0.5,10/26/2017,2/21/2021,2021,2,1214,16634.98328767123
Amara Grand,Altos Juriquilla,205.1,255,49.9,0,2,Horizontal,3711118.45,3711118.45,0,7/9/2018,2/28/2021,2021,2,965,18094.190394929305
Amara Grand,Altos Juriquilla,179.5,206.5,27,0,2,Horizontal,3170268.6,3170268.6,0,7/9/2018,2/23/2021,2021,2,960,17661.663509749305
Amara,Altos Juriquilla,158,178.3,20.3,0,2,Horizontal,2892731.11,2892731.11,0,10/26/2017,2/25/2021,2021,2,1218,18308.42474683544
Amara,Altos Juriquilla,146.7,172.7,26,0,2,Horizontal,2632118.21,2553154.66,3,10/26/2017,2/23/2021,2021,2,1216,17403.91724608044
Amara,Altos Juriquilla,158,178.3,20.3,0,2,Horizontal,2892731.11,2892731.11,0,10/26/2017,3/6/2021,2021,3,1227,18308.42474683544
Amara Grand,Altos Juriquilla,179.5,207.8,28.3,0,2,Horizontal,3170113.63,3090860.79,2.5,7/9/2018,3/5/2021,2021,3,970,17219.28016713092
Loretta,Altos Juriquilla,115.2,176.9,61.7,0,2,Horizontal,2605985.45,2658285.45,0,11/13/2020,3/12/2021,2021,3,119,23075.39453
Amara Grand,Altos Juriquilla,238.8,294.3,55.5,0,2,Horizontal,4241322.12,4244122.12,0,7/9/2018,3/20/2021,2021,3,985,17772.705695142376
Amara Grand,Altos Juriquilla,205.1,235.1,30,0,2,Horizontal,4500000,4387500,2.5,7/9/2018,4/12/2021,2021,4,1008,21392.003900536325
Amara Grand,Altos Juriquilla,179.5,206.8,27.3,0,2,Horizontal,3378297.21,3378297.21,0,7/9/2018,4/15/2021,2021,4,1011,18820.597270194987
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2546360.94,2514801.92,2.5,11/13/2020,3/31/2021,2021,3,138,16923.296904441453
Serena,Altos Juriquilla,180,235.5,55.5,0,2,Horizontal,3563693.47,3563693.47,0,4/17/2020,3/22/2021,2021,3,339,19798.29705555556
Loretta,Altos Juriquilla,115.2,193.8,78.6,0,2,Horizontal,2638895.11,2585922.73,2.5,11/13/2020,3/24/2021,2021,3,131,22447.24592013889
Loretta,Altos Juriquilla,136.1,194.1,0,58,2,Horizontal,2424410.77,2443344.61,1.5,11/13/2020,3/22/2021,2021,3,129,17952.568772961058
Loretta,Altos Juriquilla,115.2,193,77.8,0,2,Horizontal,2637305.83,2647165.83,0,11/13/2020,3/31/2021,2021,3,138,22978.870052083334
Loretta,Altos Juriquilla,110.4,211.2,100.8,0,2,Horizontal,2459897.5,2435298.53,1,11/13/2020,3/26/2021,2021,3,133,22058.86349637681
Serena,Altos Juriquilla,165.4,189.2,23.8,0,2,Horizontal,3151289.42,3193589.42,0,4/17/2020,3/30/2021,2021,3,347,19308.27944377267
Loretta,Altos Juriquilla,115.2,176.9,61.7,0,2,Horizontal,2605985.45,2658285.45,0,11/13/2020,3/27/2021,2021,3,134,23075.39453
Amara Grand,Altos Juriquilla,238.8,303.5,64.7,0,2,Horizontal,4229518.51,4208370.92,0.5,7/9/2018,3/30/2021,2021,3,995,17622.993802345056
Loretta,Altos Juriquilla,115.2,176.9,61.7,0,2,Horizontal,2605985.45,2614485.45,0,11/13/2020,4/7/2021,2021,4,145,22695.186197916668
Amara,Altos Juriquilla,158,178.6,20.6,0,2,Horizontal,2864090,2864090,0,10/26/2017,3/26/2021,2021,3,1247,18127.151898734177
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2552138.49,2570138.49,0,11/13/2020,3/29/2021,2021,3,136,17519.689775051127
